IM;TCI;RN
5482;1.629;82.17
5749;1.517;88.80
6043;1.331;87.94
5679;1.181;85.28
5605;1.315;82.06
5565;1.217;86.49
5610;1.177;82.62
5309;1.135;78.30
4804;1.434;78.34
4872;1.306;87.11
5071;1.209;85.77
4646;1.156;80.91
3824;1.740;75.88
3651;2.004;83.65
3907;1.957;82.80
4044;1.959;80.10
3155;1.971;79.10
3406;2.015;87.59
3730;2.024;87.19
3623;2.027;85.94
3094;2.036;84.55
3016;2.219;92.47
3132;2.201;95.23
3925;2.131;94.44
3352;2.013;90.69
2760;2.023;99.48
3661;1.991;102.87
4270;1.924;101.15
3565;1.832;97.65
3610;1.792;106.21
3987;1.914;103.45
3888;1.789;101.10
3516;1.692;97.72
3349;1.657;105.78
3776;1.643;105.84
3963;1.607;98.87
3548;1.557;95.01
4046;1.423;109.40
5495;1.356;111.36
5173;1.244;105.50
4576;1.046;97.60
4265;1.091;96.39
5474;1.091;106.01
6345;1.300;100.01
4330;1.380;91.70
5034;1.354;104.02
5614;1.314;108.26
6015;1.452;101.05
4630;1.499;97.02
4725;1.626;101.71
5221;1.467;103.80
5976;1.441;101.30
5230;1.421;99.90
6007;1.388;106.90
7328;1.340;108.92
6914;1.305;106.01
6049;1.283;104.01
7087;1.279;109.66
8023;1.075;115.30
11814;0.957;116.45
12065;0.942;113.92
13651;0.955;116.09
11917;0.951;115.67
12030;0.970;114.93
10738;0.980;111.63
12478;0.995;118.06
14235;1.012;122.90
15837;1.030;120.69
13150;1.049;116.90
15405;1.067;123.85
16930;1.086;126.37
15873;1.106;122.55
13415;1.126;118.11
14591;1.147;125.74
